treatment,lh_diff
1,0
2,-0.367391417304
3,0.487280763009
4,-0.307741069348
5,4.577965302818
6,-0.318208208999
7,-0.089312108681
8,-0.780457052338
9,-0.237849672597
10,0.006128701827
11,0
12,-0.137512883027
13,2.307663336149
14,3.277511061024
15,7.175012223517
16,0
17,2.124733400229
18,1.844729101795
19,4.044903989137
20,3.921273970016
21,21.917548724368
22,-2.891707019068
23,-4.722078565376
24,-14.22451885157
25,-8.580218694855
26,-27.731678157198
27,-12.242337719731
28,-14.403899074885
29,-13.118944259575
30,-27.544690484676
31,0
32,-24.762469127309
33,-28.341641787261
34,-26.553190770237
35,-40.426090615044
36,0
37,4.858127509628
38,5.258351929225
39,3.443224361465
40,2.83659404281
